,index,CandidateID,CandidateName,CandidateNameEng,Gender,Age,PartyID,SymbolID,SymbolName,SymbolNameEng,PoliticalPartyName,PoliticalPartyNameEng,TotalVoteReceived,Remarks,RemarksEng,PostId,Ward,Province_Number,District_Code,Palika_Code,Palika
295,0,183816,वसन्त कुमार बस्नेत,Basanta Kumar Basnet,पुरुष,51,1,1,रुख,,नेपाली काँग्रेस,Nepali Congress,3831,,,3,,1,14,5134,Triyuga
5914,0,308008,राम बहादुर बानियाँ,Ram Bahadur Baniya,पुरुष,41,2,2,सूर्य,,नेपाल कम्युनिष्ट पार्टी (एमाले),Nepal Communist Party (UML),0,,,3,,7,67,5662,Budhiganga
